,max_msd,mean_msd,positive_ratio,negative_ratio,positive_combo,negative_combo
0,0.29677057331617224,0.014989945202068637,0.2504792332268371,0.5952076677316294,1,75
1,0.14846632928944808,0.011199680114849593,0.22522522522522523,0.37194337194337196,0,4
2,0.06629126073623882,0.008481123582212298,0.16358463726884778,0.5078236130867709,0,14
3,0.06462005248238406,0.013498536896464484,0.2761904761904762,0.47619047619047616,0,0
4,0.0896127749750484,0.007706321685704227,0.24087591240875914,0.6686131386861314,0,18
5,0.36337431810975357,0.016796836680439704,0.23281485198193677,0.29101856497742096,0,1
6,0.1767766952966369,0.019416326000179774,0.599791013584117,0.0794148380355277,22,0
7,0.3535533905932736,0.014491730516338178,0.31452581032412963,0.4781912765106042,9,18
8,0.7071067811865476,0.025203500634874698,0.1693121693121693,0.19576719576719576,0,0
9,0.23570226039551587,0.012501997378063475,0.17685185185185184,0.34629629629629627,0,5
10,0.17224395951979998,0.014969606237087554,0.12663755458515283,0.12554585152838427,0,0
11,0.13552879972742163,0.009264526921528796,0.30395913154533843,0.598978288633461,1,17
12,0.14142135623730953,0.013799759572919143,0.3700787401574803,0.26614173228346455,4,0
13,0.2530930711904182,0.011007280921111928,0.22552329507089805,0.21336934503713706,1,1
14,0.1767766952966369,0.02084513107201999,0.1111111111111111,0.2037037037037037,0,0
15,0.12378936544028057,0.0126585185313047,0.32140653917334977,0.4713140037014189,2,9
16,0.11785113019775793,0.009367726269627553,0.13487629688747008,0.2928970470869912,1,7
17,0.23009030181467016,0.013925675549174694,0.21392111368909514,0.40649651972157774,0,29
18,0.1658685176990937,0.014209135854717211,0.35192953020134227,0.48699664429530204,7,33
19,0.3535533905932738,0.03874357716930458,0.1893491124260355,0.15680473372781065,0,0
20,0.13094570021973095,0.006749954628427927,0.3079470198675497,0.347682119205298,0,0
21,0.3535533905932738,0.023619199784245096,0.15088757396449703,0.19230769230769232,0,1
22,0.1767766952966369,0.030213459980855076,0.09302325581395349,0.11627906976744186,0,0
23,0.15713484026367722,0.010572680600782453,0.21778886118038238,0.23857024106400665,0,3
24,0.058925565098878925,0.012519987612608792,0.08108108108108109,0.14864864864864866,0,0
25,0.23570226039551584,0.010661364569607366,0.324212271973466,0.21724709784411278,6,1
26,0.35355339059327373,0.0152526796470177,0.11295034079844206,0.12950340798442064,0,0
27,0.2460333659647998,0.00868270660488836,0.23727959697732998,0.6171284634760705,1,50
28,0.0670133877595094,0.010445551034933583,0.3877995642701525,0.4139433551198257,1,2
29,0.11785113019775792,0.01202790975103652,0.05228758169934641,0.13071895424836602,0,0
30,0.2357022603955158,0.01592171205427629,0.1121751025991792,0.09302325581395349,0,0
31,0.2357022603955158,0.016701536540904286,0.11515151515151516,0.21212121212121213,0,0
32,0.35355339059327373,0.011533790187728326,0.18777292576419213,0.31768558951965065,0,3
33,0.03944481892469955,0.0059652966799219114,0.40814867762687634,0.5503931379556827,5,26
34,0.35355339059327373,0.017942877506433898,0.3230999625608386,0.32122800449269934,8,10
35,0.07856742013183861,0.013316569627556894,0.10362694300518134,0.37305699481865284,0,1
36,0.2759166856841546,0.019607508061013745,0.5299145299145299,0.358974358974359,0,1
37,0.4764552835137927,0.022276490730902244,0.1835251362810418,0.30466384009691094,0,3
38,0.05526513461474752,0.006155745478297577,0.17889908256880735,0.6811926605504587,0,12
39,0.12130043156939958,0.008449021311582221,0.17183098591549295,0.24507042253521127,0,2
40,0.2324645919834895,0.014084133750123524,0.4558139534883721,0.18604651162790697,1,0
41,0.08838834764831843,0.01105462795166482,0.17834394904458598,0.25690021231422505,0,0
42,0.44783429475148007,0.018306507023825455,0.13702359346642468,0.23321234119782214,0,2
43,0.11785113019775788,0.009814911676920564,0.10323574730354391,0.5043656908063687,0,24
44,0.11785113019775789,0.006337512298098859,0.08203530633437175,0.04776739356178609,0,0
45,0.22156012477178486,0.013890884143736057,0.2096569250317662,0.25285895806861497,1,1
46,0.23570226039551584,0.0218897196365571,0.31379962192816635,0.20226843100189035,0,0
47,0.41515326980048645,0.024467280435027862,0.19873150105708245,0.2692036645525018,1,0
48,0.07856742013183861,0.006134667917012618,0.08759124087591241,0.051094890510948905,0,0
49,0.14328216355622148,0.019235038044462215,0.42038216560509556,0.3099787685774947,2,0
50,0.10522422339085527,0.00860985963764714,0.5604838709677419,0.22681451612903225,18,0
51,0.3771236166328254,0.0417450729571171,0.14685314685314685,0.027972027972027972,0,0
52,0.20203050891044214,0.01658594514266434,0.3634085213032581,0.040100250626566414,2,0
53,0.3535533905932738,0.01833526084731359,0.06015037593984962,0.06390977443609022,0,0
54,0.1807050663032288,0.011827454260874427,0.2660448589829003,0.2873639795691761,2,2
55,0.14142135623730953,0.020569981722958295,0.1743119266055046,0.07339449541284404,0,0
56,0.02624652452529914,0.006889942397149112,0.2631578947368421,0.6842105263157895,0,2
57,0.08838834764831847,0.008950472739451164,0.14519427402862986,0.261758691206544,0,0
58,0.1533968749946497,0.01253728057306456,0.4322916666666667,0.2864583333333333,3,0
59,0.048005714056658995,0.007824219142993841,0.13981042654028436,0.8412322274881516,0,21
60,0.3535533905932738,0.015840234804973333,0.21774193548387097,0.16263440860215053,0,0
61,0.2679710222353781,0.028870046895518614,0.19314641744548286,0.1557632398753894,0,0
